w2,-0.19,-0.04,+0.08,,,,,,,,,,,,,,,
m2,0.45,-0.45,+0.15,,,,,,,,,,,,,,,
w1,-0.18,-0.37,+0.1,,,,,,,,,,,,,,,
u,0.08,-0.06,+0.05,0.74,-0.10,+0.26,1.89,-0.77,+0.34,,,,,,,,,
U,0.02,-0.05,+0.05,0.97,-0.39,+0.54,0.59,-0.26,+0.45,,,,,,,,,
B,0.27,-0.11,+0.18,0.71,-0.18,+0.52,0.84,-0.31,+0.26,0.54,-0.35,+0.5,,,,,,
g,0.29,-0.10,+0.33,0.98,-0.64,+0.32,0.75,-0.20,+0.30,0.57,-0.22,+0.18,,,,,,
V,0.40,-0.15,+0.26,0.5,-0.19,+0.29,0.75,-0.27,+0.21,0.4,-0.15,+0.11,0.64,-0.11,+0.25,,,
r,0.46,-0.15,+0.27,0.54,-0.30,+0.16,0.66,-0.10,+0.11,0.25,-0.05,+0.07,0.71,-0.10,+0.13,,,
R,0.51,-0.22,+0.35,0.45,-0.17,+0.22,0.55,-0.14,+0.24,0.33,-0.13,+0.55,0.89,-0.30,+0.22,,,
i,0.51,-0.13,+0.29,0.41,-0.14,+0.14,0.54,-0.10,+0.12,0.22,-0.06,+0.37,0.45,-0.13,+0.2,,,
I,0.5,-0.10,+0.25,0.28,-0.07,+0.13,0.36,-0.05,+0.13,0.33,-0.08,+0.11,0.38,-0.32,+0.51,,,
J,0.44,-0.04,+0.04,0.19,-0.10,+0.17,0.27,-0.05,+0.06,,,,,,,,,
H,0.44,-0.01,+0.12,0.27,-0.09,+0.11,0.34,-0.03,+0.03,,,,,,,,,
K,0.49,-0.02,+0.01,0.25,-0.06,+0.05,,,,,,,,,,,,
